date,year,month,time,call,,,,date,
10,2023,1,11:15-11:30,99,,10/01/2023,11:15,44936,11:15:00
10,2023,1,11:30-11:45,113,,10/01/2023,11:30,44936,11:30:00
10,2023,1,11:45-12:00,172,,10/01/2023,11:45,44936,11:45:00
10,2023,1,12:00-12:15,131,,10/01/2023,12:00,44936,12:00:00
10,2023,1,12:15-12:30,124,,10/01/2023,12:15,44936,12:15:00
10,2023,1,12:30-12:45,148,,10/01/2023,12:30,44936,12:30:00
10,2023,1,12:45-13:00,152,,10/01/2023,12:45,44936,12:45:00
10,2023,1,13:00-13:15,129,,10/01/2023,13:00,44936,13:00:00
10,2023,1,13:15-13:30,123,,10/01/2023,13:15,44936,13:15:00
10,2023,1,13:30-13:45,126,,10/01/2023,13:30,44936,13:30:00
10,2023,1,13:45-14:00,114,,10/01/2023,13:45,44936,13:45:00
10,2023,1,14:00-14:15,152,,10/01/2023,14:00,44936,14:00:00
10,2023,1,14:15-14:30,121,,10/01/2023,14:15,44936,14:15:00
10,2023,1,14:30-14:45,109,,10/01/2023,14:30,44936,14:30:00
10,2023,1,14:45-15:00,114,,10/01/2023,14:45,44936,14:45:00
10,2023,1,15:00-15:15,122,,10/01/2023,15:00,44936,15:00:00
10,2023,1,15:15-15:30,132,,10/01/2023,15:15,44936,15:15:00
10,2023,1,15:30-15:45,118,,10/01/2023,15:30,44936,15:30:00
10,2023,1,15:45-16:00,122,,10/01/2023,15:45,44936,15:45:00
10,2023,1,16:00-16:15,106,,10/01/2023,16:00,44936,16:00:00
10,2023,1,16:15-16:30,111,,10/01/2023,16:15,44936,16:15:00
10,2023,1,16:30-16:45,122,,10/01/2023,16:30,44936,16:30:00
10,2023,1,16:45-17:00,91,,10/01/2023,16:45,44936,16:45:00
10,2023,1,17:00-17:15,91,,10/01/2023,17:00,44936,17:00:00
10,2023,1,17:15-17:30,99,,10/01/2023,17:15,44936,17:15:00
10,2023,1,17:30-17:45,82,,10/01/2023,17:30,44936,17:30:00
10,2023,1,17:45-18:00,97,,10/01/2023,17:45,44936,17:45:00
10,2023,1,18:00-18:15,85,,10/01/2023,18:00,44936,18:00:00
10,2023,1,18:15-18:30,71,,10/01/2023,18:15,44936,18:15:00
10,2023,1,18:30-18:45,66,,10/01/2023,18:30,44936,18:30:00
10,2023,1,18:45-19:00,60,,10/01/2023,18:45,44936,18:45:00
10,2023,1,19:00-19:15,39,,10/01/2023,19:00,44936,19:00:00
10,2023,1,19:15-19:30,55,,10/01/2023,19:15,44936,19:15:00
10,2023,1,19:30-19:45,56,,10/01/2023,19:30,44936,19:30:00
10,2023,1,19:45-20:00,56,,10/01/2023,19:45,44936,19:45:00
10,2023,1,20:00-20:15,41,,10/01/2023,20:00,44936,20:00:00
10,2023,1,20:15-20:30,37,,10/01/2023,20:15,44936,20:15:00
10,2023,1,20:30-20:45,32,,10/01/2023,20:30,44936,20:30:00
10,2023,1,20:45-21:00,29,,10/01/2023,20:45,44936,20:45:00
10,2023,1,21:00-21:15,0,,10/01/2023,21:00,44936,21:00:00
11,2023,1,08:30-08:45,53,,11/01/2023,08:30,44937,08:30:00
11,2023,1,08:45-09:00,95,,11/01/2023,08:45,44937,08:45:00
11,2023,1,09:00-09:15,72,,11/01/2023,09:00,44937,09:00:00
11,2023,1,09:15-09:30,80,,11/01/2023,09:15,44937,09:15:00
11,2023,1,09:30-09:45,98,,11/01/2023,09:30,44937,09:30:00
11,2023,1,09:45-10:00,114,,11/01/2023,09:45,44937,09:45:00
11,2023,1,10:00-10:15,107,,11/01/2023,10:00,44937,10:00:00
11,2023,1,10:15-10:30,134,,11/01/2023,10:15,44937,10:15:00
